,balcony,floor_num,total_area,kitchen_area,rooms_count,living_area,is_apartments,bedrooms_count,year_built,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
974,0.0,16,37.0,12.0,1.0,,f,,2018.0,32,ЮВАО,р-н Марьино,Курьяново,walk,8,15600000
7053,,3,131.0,10.0,6.0,,f,,2002.0,17,ЗАО,р-н Тропарево-Никулино,Юго-Западная,walk,8,35000000
330,,15,48.3,,2.0,,f,,,27,СЗАО,р-н Щукино,Щукинская,transport,4,19513200
8040,,22,21.6,2.9,,12.9,f,,,24,ЗАО,р-н Солнцево,Солнцево,walk,12,8932053
3351,1.0,2,318.0,30.0,6.0,150.0,,,2004.0,4,ЗАО,р-н Крылатское,Молодёжная,transport,6,275471699
1665,,27,33.1,10.8,1.0,12.3,f,,,28,САО,р-н Хорошевский,Зорге,walk,5,20633007
6870,1.0,2,332.0,10.0,6.0,128.0,f,,1996.0,4,ЗАО,р-н Очаково-Матвеевское,Давыдково,walk,16,150000000
1952,,9,35.39,10.8,1.0,16.3,f,,,9,НАО (Новомосковский),м. Рассказовка,Рассказовка,transport,20,6931725
6481,0.0,1,284.0,25.0,6.0,231.0,,,2002.0,5,СЗАО,р-н Покровское-Стрешнево,Стрешнево,transport,6,156750000
4098,,13,67.5,8.0,3.0,45.0,f,,,16,ЗАО,р-н Очаково-Матвеевское,Аминьевская,walk,13,15990000
3477,,10,94.3,,3.0,,f,,,53,ЗАО,р-н Раменки,Ломоносовский проспект,transport,4,67000000
1357,,13,33.8,6.1,1.0,20.3,f,,,30,ЮВАО,р-н Рязанский,Окская,walk,10,12306411
7365,,1,15.5,,,12.0,t,,1995.0,17,ЗАО,р-н Можайский,Кунцевская,transport,6,4600000
7693,1.0,8,27.5,1.1,,15.7,t,,,23,СВАО,р-н Отрадное,Владыкино,walk,3,7574648
3092,,25,55.9,8.1,2.0,42.8,t,,,28,СЗАО,р-н Хорошево-Мневники,Полежаевская,walk,20,22902230
6737,0.0,3,145.0,28.0,6.0,91.0,,,1913.0,5,ЦАО,р-н Тверской,Цветной бульвар,walk,5,109000000
2172,,2,34.9,15.8,2.0,10.6,f,,,64,СЗАО,р-н Хорошево-Мневники,Хорошёвская,transport,5,13797977
6076,,18,162.2,15.7,5.0,128.0,f,,2006.0,27,ЮЗАО,р-н Академический,Профсоюзная,walk,10,69000000
597,,5,35.8,21.0,1.0,,,,2023.0,20,САО,р-н Западное Дегунино,Грачёвская,walk,14,12300000
375,0.0,18,43.0,14.0,1.0,24.0,t,,2022.0,22,СЗАО,р-н Щукино,Стрешнево,walk,6,19500000
7253,3.0,17,345.0,,6.0,,,,,18,ЗАО,р-н Раменки,Раменки,walk,2,99000000
7363,1.0,6,29.4,5.8,,13.3,f,,,12,НАО (Новомосковский),м. Аэропорт Внуково,Аэропорт Внуково,transport,17,7717500
1103,,1,45.8,5.5,2.0,,f,,1958.0,5,ЗАО,р-н Фили-Давыдково,Кунцевская,walk,12,11000000
6105,1.0,23,200.0,20.0,5.0,140.0,,,,24,ЦАО,р-н Пресненский,Москва-Сити,walk,8,75000000
3612,1.0,5,160.0,25.0,3.0,,,,2019.0,7,ЦАО,р-н Якиманка,Полянка,walk,7,183000000
2507,1.0,4,65.1,12.0,2.0,48.1,f,,,20,ЦАО,р-н Пресненский,Москва-Сити,walk,12,68000000
7512,,1,49.6,5.0,,27.2,f,,,4,ЦАО,р-н Тверской,Площадь Революции,walk,3,117320000
64,,2,40.9,19.4,1.0,11.9,f,,,16,ВАО,р-н Преображенское,Преображенская площадь,walk,7,17295455
6353,0.0,8,190.0,32.0,5.0,153.0,,,2019.0,11,ЗАО,р-н Дорогомилово,Москва-Сити,walk,15,168000000
3256,,7,91.8,26.2,3.0,40.9,f,,,14,ЗАО,р-н Раменки,Ломоносовский проспект,transport,2,49030000
830,,11,52.0,8.6,2.0,30.3,f,,,12,ЮАО,р-н Нагатинский затон,Кленовый бульвар,walk,9,16400000
4693,,8,163.56,39.6,4.0,66.3,f,,,13,ЗАО,м. Павшино,Павшино,transport,24,91168344
5428,1.0,4,179.5,54.3,4.0,71.2,f,,,6,ЦАО,р-н Басманный,Чистые пруды,walk,5,360760000
7257,0.0,4,150.0,,6.0,,f,,1890.0,4,ЦАО,р-н Басманный,Китай-город,walk,7,105000000
3108,,2,46.0,6.0,2.0,35.0,t,,2023.0,21,САО,р-н Хорошевский,Полежаевская,walk,17,23600000
3314,,11,115.6,,3.0,,f,,,18,ЗАО,р-н Дорогомилово,Москва-Сити,walk,19,131221490
7911,,1,25.3,,,11.0,f,,,17,НАО (Новомосковский),м. Мичуринец,Мичуринец,walk,12,7734263
6976,,1,300.0,20.0,6.0,,t,,2004.0,7,ЦАО,р-н Хамовники,Киевская,walk,12,275471699
7607,,24,22.9,5.0,,10.2,f,,,24,ЗАО,р-н Солнцево,Солнцево,walk,17,10008742
2920,1.0,2,69.0,12.6,2.0,,f,,,8,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,7,16601400
2465,,8,84.6,17.8,2.0,41.1,t,,,19,ЦАО,р-н Красносельский,Красные ворота,walk,7,56682000
5430,,27,103.0,,5.0,70.1,f,,,28,ЮАО,р-н Нагорный,Нагорная,walk,8,41859200
7805,,3,22.5,,,,f,,,17,ЮЗАО,р-н Южное Бутово,Щербинка,walk,18,6751601
1114,,23,33.6,9.8,1.0,15.9,f,,,26,ЮАО,р-н Нагатино-Садовники,Нагатинская,walk,15,21066679
8161,1.0,2,30.27,5.0,,14.4,f,,,28,ЮВАО,р-н Нижегородский,Нижегородская,walk,12,10257500
6310,0.0,3,145.0,20.0,5.0,101.0,t,,2016.0,5,ЦАО,р-н Замоскворечье,Новокузнецкая,walk,8,139999900
4321,,12,71.1,5.3,3.0,49.2,f,,,56,ЗАО,р-н Раменки,Минская,walk,19,29955305
6971,3.0,6,385.0,,6.0,308.0,f,,,6,СЗАО,р-н Покровское-Стрешнево,Стрешнево,transport,6,275471699
4217,1.0,11,20.4,5.1,,8.5,f,,,16,НАО (Новомосковский),м. Ольховая,Ольховая,transport,17,6286342
6838,,10,170.0,20.0,6.0,145.0,f,,2023.0,14,ЗАО,р-н Раменки,Минская,transport,5,120000000
1021,,2,30.6,10.6,1.0,12.7,f,,,12,ЗАО,р-н Очаково-Матвеевское,Аминьевская,walk,13,16336845
7092,,15,233.0,26.0,6.0,122.0,,,2006.0,37,САО,р-н Хорошевский,Аэропорт,walk,10,440000000
6746,2.0,2,235.0,16.0,6.0,150.0,,,2002.0,5,СЗАО,р-н Покровское-Стрешнево,Сокол,transport,10,129900000
3366,2.0,9,96.0,15.0,3.0,67.2,,,,20,ЦАО,р-н Пресненский,Улица 1905 года,walk,7,115000000
7848,1.0,13,20.4,4.2,,8.0,f,,,13,НАО (Новомосковский),м. Бунинская аллея,Бунинская аллея,transport,8,7242636
2674,,4,37.9,4.9,2.0,28.0,t,,,36,СВАО,р-н Ярославский,Ростокино,walk,12,10687800
4234,,6,60.37,5.8,3.0,37.9,f,,,29,ВАО,р-н Богородское,Бульвар Рокоссовского,walk,4,23140963
2346,1.0,16,53.5,11.2,2.0,30.6,f,,,17,ЮАО,р-н Бирюлево Западное,Пражская,transport,8,12700000
2282,,2,79.5,28.4,2.0,30.6,f,,,9,ЗАО,м. Павшино,Павшино,transport,24,29303700
5110,0.0,5,122.7,14.9,4.0,72.5,f,,1997.0,15,ВАО,р-н Сокольники,Сокольники,walk,12,54000000
8102,,20,21.0,,,,t,,,21,ЮВАО,р-н Нижегородский,Калитники,walk,9,9697530
2490,0.0,4,71.0,5.3,2.0,48.6,,,2021.0,25,ЗАО,р-н Раменки,Аминьевская,walk,17,30600000
