id,cian_id,balcony,floor_num,garage,total_area,kitchen_area,rooms_count,living_area,is_apartments,bedrooms_count,year_built,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
6314,290757335,None,1,None,414.2,None,6,136.4,None,None,2002,4,ЦАО,р-н Хамовники,Кропоткинская,walk,6,540000000
6315,291208113,0,20,None,200.0,30.0,6,None,None,None,2019,22,СЗАО,р-н Хорошево-Мневники,Щукинская,transport,7,148900000
6316,286393920,1,5,None,321.7,None,6,None,f,None,None,5,ЦАО,р-н Тверской,Чеховская,walk,4,230000000
6317,301040972,None,6,None,273.0,11.9,6,161.6,f,None,None,11,ЦАО,р-н Тверской,Маяковская,walk,2,470000000
6356,295373461,None,4,None,398.4,20.0,6,None,f,None,2009,6,ЦАО,р-н Хамовники,Кропоткинская,walk,6,582150248
6318,299030177,1,1,None,420.0,20.0,6,None,None,None,2003,7,СЗАО,р-н Покровское-Стрешнево,Стрешнево,transport,6,290000000
6319,290204222,None,7,None,693.0,None,6,409.8,f,None,2006,7,ЗАО,р-н Очаково-Матвеевское,Давыдково,transport,5,300000000
6320,299508355,None,2,None,203.0,20.0,6,None,None,None,None,14,ЗАО,р-н Раменки,Минская,transport,5,129000000
6321,287766412,None,6,None,228.0,34.4,6,None,None,None,None,12,ЦАО,р-н Хамовники,Спортивная,walk,7,364800000
6323,300689383,None,3,None,170.0,20.0,6,None,f,None,1912,5,ЦАО,р-н Тверской,Пушкинская,walk,6,75000000
6324,301714593,1,2,None,188.0,13.0,6,109.0,f,None,1965,9,ЦАО,р-н Хамовники,Смоленская,walk,7,105000000
6325,291972109,None,2,None,450.0,43.0,6,None,None,None,2003,4,ЗАО,р-н Крылатское,Молодёжная,transport,6,310000000
6326,279420911,0,4,None,336.4,26.0,6,222.5,t,None,1900,4,ЦАО,р-н Тверской,Площадь Революции,walk,5,186000000
6327,268959829,None,6,None,412.5,None,6,None,t,None,2015,15,ЦАО,р-н Тверской,Охотный ряд,walk,1,889663402
6328,301749418,None,5,None,306.5,15.0,6,None,f,None,1908,5,ЦАО,р-н Пресненский,Баррикадная,walk,11,130000000
6365,300549055,0,23,None,360.0,None,6,None,f,None,2001,26,ЮЗАО,р-н Гагаринский,Академическая,walk,18,110000000
6329,300984681,1,4,None,215.0,15.0,6,150.9,None,None,2000,5,СВАО,р-н Лианозово,Лианозово,walk,14,78400000
6330,298784492,None,2,None,315.0,None,6,None,f,None,1906,2,ЦАО,р-н Пресненский,Арбатская,walk,7,505031449
6331,293725128,0,2,None,416.2,19.8,6,367.7,f,None,2010,7,ЦАО,р-н Пресненский,Баррикадная,walk,11,800000000
6333,300807299,0,7,None,409.0,28.4,6,270.0,None,None,None,7,ЦАО,р-н Хамовники,Парк Культуры,walk,6,982800000
6367,296784041,1,21,None,255.2,15.0,6,None,None,None,2002,22,ЗАО,р-н Раменки,Ломоносовский проспект,walk,15,135000000
6334,301734624,None,6,None,221.0,None,6,None,None,None,None,18,ЦАО,р-н Хамовники,Фрунзенская,walk,5,304396228
6335,270229586,None,82,None,355.0,None,6,210.0,t,None,2017,95,ЦАО,р-н Пресненский,Деловой центр,walk,2,325000000
6336,294607942,2,4,None,333.0,18.0,6,None,f,None,2009,13,ЦАО,р-н Хамовники,Спортивная,walk,9,398000000
6337,295440852,1,4,None,369.0,32.0,6,None,None,None,1990,4,ЦАО,р-н Тверской,Пушкинская,walk,4,230000000
6339,291499328,2,21,None,272.5,30.0,6,170.0,None,None,2004,21,ЗАО,р-н Раменки,Ломоносовский проспект,walk,16,130000000
6373,297717055,1,5,None,385.0,20.0,6,None,None,None,2004,5,СЗАО,р-н Покровское-Стрешнево,Стрешнево,transport,6,275471699
6340,268525427,None,7,None,443.8,25.0,6,None,f,None,2009,7,ЦАО,р-н Хамовники,Киевская,walk,15,909056609
6341,300006017,1,4,None,326.0,20.0,6,None,f,None,1892,5,ЦАО,р-н Мещанский,Кузнецкий мост,walk,3,160000000
6342,289519229,None,7,None,332.1,20.0,6,None,f,None,1999,7,ЗАО,р-н Можайский,Давыдково,walk,14,320000000
6343,287593214,None,10,None,364.0,19.6,6,156.6,f,None,2008,10,ЗАО,р-н Очаково-Матвеевское,Матвеевская,walk,18,192830189
6344,300431347,None,3,None,485.8,None,6,None,f,None,1850,3,ЦАО,р-н Хамовники,Кропоткинская,walk,2,388640000
6345,297493440,1,8,None,204.0,None,6,None,None,None,1991,12,ЦАО,р-н Якиманка,Октябрьская,walk,8,183600000
6347,268335159,None,5,None,584.1,58.0,6,142.0,None,None,None,5,ЦАО,р-н Хамовники,Парк Культуры,walk,8,1285534599
6348,296811937,0,4,None,246.0,35.0,6,130.0,None,None,None,4,ЦАО,р-н Хамовники,Смоленская,walk,10,250000000
6349,293317736,None,21,None,370.0,None,6,None,f,None,2005,21,ЗАО,р-н Раменки,Ломоносовский проспект,walk,16,130000000
6350,301772067,0,33,None,200.0,47.0,6,106.0,f,None,2022,34,СВАО,р-н Останкинский,Алексеевская,walk,10,82000000
6377,288333135,1,20,None,223.0,18.0,6,205.0,f,None,None,20,ЮЗАО,р-н Ломоносовский,Университет,walk,19,85300000
6389,277528794,1,2,None,378.7,None,6,None,t,None,1882,2,ЦАО,р-н Басманный,Китай-город,walk,3,140000000
6351,299555381,None,4,None,268.5,28.0,6,None,None,None,1890,4,ЦАО,р-н Арбат,Смоленская,walk,9,165000000
6352,300005938,1,3,None,301.0,30.0,6,None,f,None,1901,5,ЦАО,р-н Красносельский,Тургеневская,walk,4,159000000
6353,263760928,1,6,None,314.0,33.3,6,170.0,None,None,2013,10,ЦАО,р-н Тверской,Новослободская,walk,8,320000000
6354,298295578,0,35,None,164.6,20.0,6,106.0,f,None,None,40,ЗАО,р-н Раменки,Кутузовская,walk,18,100000000
6355,297026841,2,5,None,209.0,None,6,None,f,None,1902,5,ЦАО,р-н Пресненский,Белорусская,walk,8,87000000
6396,295135485,None,36,None,181.1,11.8,6,109.0,f,None,2018,44,ЦАО,р-н Пресненский,Улица 1905 года,walk,13,195000000
6357,300864270,1,7,None,443.8,30.0,6,None,None,None,2009,7,ЦАО,р-н Хамовники,Киевская,walk,15,909056609
6358,289194176,None,4,None,310.0,None,6,None,f,None,2002,20,ЦАО,р-н Хамовники,Фрунзенская,walk,5,308000000
6359,300392883,0,25,None,186.0,36.0,6,102.2,None,None,None,28,ЗАО,р-н Раменки,Раменки,walk,6,118000000
6360,300096635,1,4,None,412.0,31.8,6,241.1,t,None,2004,7,ЦАО,р-н Хамовники,Киевская,walk,12,302651574
6361,297176114,0,8,None,289.2,70.0,6,109.8,None,None,None,21,СЗАО,р-н Хорошево-Мневники,Мнёвники,walk,18,166000000
6362,300509111,None,8,None,256.5,None,6,None,None,None,None,9,ЦАО,р-н Хамовники,Киевская,walk,12,400000000
6363,286623830,None,13,None,454.0,None,6,None,f,None,2013,14,ЗАО,р-н Раменки,Университет,walk,5,300000000
6364,301012211,None,10,None,239.9,None,6,150.0,None,None,None,10,ЦАО,р-н Тверской,Менделеевская,walk,3,216600000
6366,296776085,0,13,None,743.0,40.0,6,None,t,None,2017,13,ЗАО,р-н Раменки,Ломоносовский проспект,transport,5,902628936
6378,297794326,0,2,None,220.0,27.0,6,130.0,t,None,1917,5,ЦАО,р-н Басманный,Чистые пруды,walk,10,66000000
6368,296776091,0,13,None,594.0,40.0,6,None,t,None,2017,13,ЗАО,р-н Раменки,Ломоносовский проспект,transport,5,795194973
6369,292138283,None,6,None,640.0,None,6,None,None,None,None,7,ЦАО,р-н Пресненский,Баррикадная,walk,11,1200000000
6370,292529270,None,14,None,308.0,32.9,6,None,None,None,2014,14,ЦАО,р-н Хамовники,Фрунзенская,walk,8,644000000
6371,291208103,None,22,None,287.5,30.0,6,None,None,None,2021,25,ЦАО,р-н Якиманка,Серпуховская,walk,11,138000000
6372,297047824,None,3,None,304.0,12.2,6,None,None,None,2020,8,ЗАО,р-н Раменки,Ломоносовский проспект,transport,4,380000000
6374,300111201,0,10,None,388.0,None,6,268.0,f,None,2007,10,ЦАО,р-н Якиманка,Полянка,walk,3,355000000
6375,300685189,None,3,None,303.8,None,6,None,None,None,2020,12,ЗАО,р-н Раменки,Ломоносовский проспект,transport,4,380000000
6376,301734972,None,3,None,303.0,None,6,None,None,None,None,12,ЗАО,р-н Раменки,Ломоносовский проспект,transport,4,380000000
6379,301148417,4,5,None,215.0,17.3,6,118.5,f,None,1995,5,ЮВАО,р-н Марьино,Марьино,walk,4,60000000
6381,296211494,None,1,None,187.8,None,6,None,t,None,2009,11,ЦАО,р-н Басманный,Курская,walk,12,85000000
6382,270139267,4,4,None,416.0,20.0,6,350.0,f,None,None,4,ЗАО,р-н Раменки,Минская,walk,12,757547174
6383,283051326,2,8,None,340.0,None,6,None,f,None,2012,8,ЦАО,р-н Арбат,Арбатская,walk,6,590000000
6384,277144297,3,4,None,240.0,None,6,None,f,None,2005,6,СЗАО,р-н Покровское-Стрешнево,Стрешнево,transport,9,267154470
6385,273537115,None,6,None,435.0,None,6,None,f,None,2003,6,ЦАО,р-н Хамовники,Парк Культуры,walk,10,826415099
6386,300830948,0,6,None,212.3,None,6,148.0,t,None,2016,7,ЦАО,р-н Арбат,Арбатская,walk,6,230000000
6387,247217289,2,5,None,370.0,44.0,6,152.0,f,None,2019,6,ЗАО,р-н Раменки,Минская,walk,10,407000000
6388,301053828,0,8,None,518.5,None,6,None,f,None,2017,8,ЦАО,р-н Таганский,Таганская,walk,7,1814750000
6390,286521051,0,17,None,195.8,74.0,6,121.8,f,None,None,18,САО,р-н Аэропорт,Сокол,walk,1,78120000
6391,277701193,1,30,None,384.0,None,6,None,f,None,2006,31,ЗАО,р-н Тропарево-Никулино,Тропарёво,walk,10,367295599
6392,300935816,None,12,None,195.22,None,6,None,f,None,1999,12,ЦАО,р-н Басманный,Бауманская,walk,8,93700000
6393,298581781,0,29,None,289.0,None,6,None,f,None,2008,35,ЗАО,р-н Тропарево-Никулино,Тропарёво,walk,12,240000000
6394,294928777,None,5,None,360.0,12.0,6,192.0,f,None,2003,5,ЦАО,р-н Хамовники,Парк Культуры,walk,8,1700000000
6395,299440135,3,5,None,302.0,40.0,6,260.0,f,None,1927,6,ЦАО,р-н Красносельский,Комсомольская,walk,2,36000000
6397,289518447,None,4,None,158.0,25.0,6,94.0,f,None,1904,4,ЦАО,р-н Басманный,Красные ворота,walk,2,50000000
6398,284114513,None,7,None,422.34,55.0,6,160.0,f,None,1952,7,ЦАО,р-н Арбат,Баррикадная,walk,9,120000000
6949,285515380,None,4,None,152.0,14.0,6,100.6,f,None,1912,8,ЦАО,р-н Замоскворечье,Новокузнецкая,walk,2,85000000
6399,283393154,None,1,None,336.0,21.0,6,180.0,f,None,2001,3,ЦАО,р-н Тверской,Трубная,walk,2,593676600
6400,298984797,None,82,None,353.2,None,6,None,t,None,2017,95,ЦАО,р-н Пресненский,Деловой центр,walk,1,294000000
6401,291229343,1,5,None,235.0,None,6,None,None,None,None,7,ЦАО,р-н Тверской,Маяковская,walk,6,156100629
6402,298418900,None,5,None,272.4,60.0,6,None,f,None,1917,6,ЦАО,р-н Тверской,Пушкинская,walk,1,80000000
6408,288040229,None,7,None,443.8,None,6,265.0,f,None,2009,7,ЦАО,р-н Хамовники,Киевская,walk,15,909056609
6403,300285290,None,14,None,313.0,35.0,6,200.0,f,None,2019,14,ЦАО,р-н Хамовники,Фрунзенская,walk,7,644000000
6404,299891148,None,6,None,340.5,None,6,230.0,f,None,2003,7,ЦАО,р-н Хамовники,Кропоткинская,walk,3,428000000
6405,257892932,1,4,None,230.0,15.0,6,170.0,f,None,1910,5,ЦАО,р-н Хамовники,Кропоткинская,walk,3,197892200
6406,300349720,1,5,None,414.0,31.6,6,243.0,t,None,2004,7,ЦАО,р-н Хамовники,Киевская,walk,12,304120756
6407,277133872,1,1,None,406.8,None,6,305.1,f,None,2005,6,СЗАО,р-н Покровское-Стрешнево,Стрешнево,transport,8,350000000
6417,301471104,0,9,None,127.3,10.0,6,None,f,None,1993,17,ЗАО,р-н Тропарево-Никулино,Озёрная,walk,6,43800000
6410,294083539,None,38,None,260.0,None,6,None,f,None,2007,43,САО,р-н Хорошевский,Беговая,walk,3,89000000
6411,300539764,0,4,None,250.0,40.0,6,200.0,f,None,None,17,ЗАО,р-н Дорогомилово,Студенческая,walk,5,156182195
6412,294852487,None,7,None,379.4,None,6,250.0,f,None,1911,9,ЦАО,р-н Хамовники,Боровицкая,walk,4,465000000
6413,298937787,None,3,None,190.0,22.0,6,126.0,f,None,1912,5,ЦАО,р-н Тверской,Пушкинская,walk,6,89000000
6414,299884090,None,5,None,370.1,None,6,None,f,None,2019,10,ЗАО,р-н Раменки,Минская,walk,13,412500000
6418,296500417,None,17,None,455.5,28.0,6,289.0,f,None,2012,17,ЗАО,р-н Раменки,Раменки,walk,9,225000000
6942,295732959,2,7,None,220.0,18.0,6,130.0,f,None,2000,8,ЮЗАО,р-н Южное Бутово,Бунинская аллея,walk,13,59700000
6415,301139509,2,7,None,672.0,62.0,6,399.0,f,None,2015,8,ЦАО,р-н Хамовники,Спортивная,walk,5,1377358499
6416,282312923,0,10,None,260.0,32.0,6,200.0,None,None,2006,16,ЦАО,р-н Якиманка,Полянка,walk,9,550943399
6419,295995197,0,20,None,440.0,40.0,6,150.0,None,None,2006,20,ЦАО,р-н Якиманка,Шаболовская,walk,9,175000000
6420,291883919,None,3,None,136.0,None,6,None,f,None,2011,13,ЮЗАО,р-н Ломоносовский,Профсоюзная,walk,16,80000000
6421,301155925,0,4,None,321.0,70.0,6,200.0,f,None,1910,5,ЦАО,р-н Басманный,Курская,walk,11,102406600
6437,294288826,4,15,None,340.0,33.0,6,175.0,f,None,None,16,СЗАО,р-н Хорошево-Мневники,Народное Ополчение,walk,13,127000000
6961,283085864,1,2,None,240.0,15.0,6,120.0,None,None,None,4,СЗАО,р-н Хорошево-Мневники,Карамышевская,transport,2,99000000
6423,231146699,None,2,None,345.0,None,6,None,f,None,2006,4,ЗАО,р-н Крылатское,Молодёжная,transport,3,275471699
6424,300380699,0,19,None,548.0,None,6,458.0,f,None,1999,20,СЗАО,р-н Щукино,Октябрьское поле,walk,5,400000000
6425,297272996,None,4,None,135.4,15.0,6,96.2,f,None,1917,4,ЦАО,р-н Басманный,Чистые пруды,walk,11,45000000
6426,298787165,None,3,None,122.6,12.0,6,None,f,None,1870,5,ЦАО,р-н Пресненский,Маяковская,walk,4,119000000
6427,280122787,0,1,None,222.0,37.0,6,96.0,None,None,2019,3,ЮАО,р-н Даниловский,ЗИЛ,walk,14,130000000
6429,282770323,1,5,None,200.0,40.0,6,134.0,f,None,None,5,ЦАО,р-н Таганский,Китай-город,walk,6,125000000
6430,301687244,0,4,None,166.1,18.1,6,115.3,f,None,1896,4,ЦАО,р-н Басманный,Курская,walk,6,85000000
