,floor_num,total_area,kitchen_area,rooms_count,living_area,is_apartments,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
2521,3,103.9,26.0,3.0,35.7,f,20,ЗАО,р-н Филевский парк,Народное Ополчение,transport,3,36962923
2522,3,36.0,17.0,1.0,10.0,,25,ЗАО,р-н Кунцево,Молодёжная,walk,10,18950000
2523,18,40.5,20.3,1.0,14.0,f,28,ЮАО,р-н Даниловский,ЗИЛ,walk,14,22416264
2524,2,22.0,,,,f,14,САО,р-н Тимирязевский,Окружная,walk,15,8686046
2525,4,19.0,4.0,,9.0,t,5,СВАО,р-н Марфино,Владыкино,walk,7,7700000
2526,2,41.96,4.0,1.0,16.8,t,9,ВАО,р-н Косино-Ухтомский,Реутов,transport,3,11750000
2527,38,63.0,23.0,2.0,27.0,f,51,ЦАО,р-н Пресненский,Шелепиха,walk,13,36000000
2528,4,81.5,33.9,1.0,15.8,f,6,ЦАО,р-н Басманный,Чистые пруды,walk,5,193290000
2529,5,138.4,33.5,5.0,70.0,f,15,ЮАО,р-н Даниловский,ЗИЛ,walk,14,81383352
2530,3,191.0,,5.0,,f,6,ЦАО,р-н Хамовники,Кропоткинская,walk,5,89000000
2531,3,30.6,,1.0,9.6,f,23,СВАО,р-н Ростокино,Ботанический сад,walk,11,17427800
2532,11,110.5,11.8,4.0,57.8,f,12,ЦАО,р-н Замоскворечье,Серпуховская,walk,9,78500000
2533,4,149.0,31.0,3.0,63.0,,9,ЦАО,р-н Пресненский,Баррикадная,walk,11,150000000
2534,11,37.8,8.4,1.0,19.1,f,17,ЗАО,р-н Солнцево,Солнцево,walk,18,11300000
2535,2,174.1,,5.0,,f,5,ЦАО,р-н Мещанский,Трубная,walk,4,199000000
2536,6,227.5,17.0,5.0,141.0,,16,ЦАО,р-н Хамовники,Спортивная,walk,9,341000000
2537,2,93.2,21.8,4.0,43.6,f,28,ЗАО,р-н Раменки,Раменки,walk,6,46341099
2538,33,63.3,,3.0,40.1,f,34,ЮЗАО,р-н Обручевский,Калужская,walk,8,29485140
2539,5,227.8,12.6,4.0,124.0,f,7,ЦАО,р-н Якиманка,Новокузнецкая,walk,10,501160000
2540,10,34.0,,,18.2,f,49,СЗАО,р-н Покровское-Стрешнево,Трикотажная,walk,9,13324691
2541,12,63.4,8.5,3.0,39.7,f,14,ЮАО,р-н Бирюлево Западное,Пражская,transport,8,13500000
2542,3,320.0,,6.0,,,20,СВАО,р-н Марьина роща,Достоевская,walk,8,183647799
2543,2,92.3,20.2,3.0,,,33,ЮЗАО,р-н Южное Бутово,Улица Скобелевская,walk,9,21990000
2544,3,36.7,,1.0,,f,36,САО,р-н Беговой,Белорусская,walk,5,29128619
2545,5,161.0,12.0,4.0,89.0,,18,ЦАО,р-н Пресненский,Белорусская,walk,12,165000000
2546,2,76.3,,2.0,,f,14,ЦАО,р-н Пресненский,Белорусская,walk,11,74540000
2547,2,149.2,7.4,5.0,91.0,f,21,ЦАО,р-н Пресненский,Улица 1905 года,walk,12,110200000
2548,22,312.6,30.0,6.0,,f,25,ЗАО,р-н Очаково-Матвеевское,Матвеевская,transport,4,180000000
2549,6,52.0,12.0,1.0,,,9,ЦАО,р-н Тверской,Новослободская,walk,9,55000000
