,price
765,15613500
766,265500000
767,25537891
768,16336845
769,10085525
770,16800000
771,80000000
772,243000000
773,94000000
774,58000000
775,8450000
776,175400000
777,75000000
778,11957900
779,19900000
780,8968750
781,44000000
782,17500000
783,26093185
784,16900000
785,6908954
786,7346468
787,12399000
788,185000000
789,63000000
790,5752625
791,12000000
792,7423500
793,8128776
794,65000000
795,10600000
796,10715978
797,14899000
798,17800000
799,42000000
800,40630000
801,80000000
802,11300000
803,46910472
804,22500000
805,44000000
806,29734300
807,135000000
808,16400000
809,7890000
810,35104400
811,13065207
812,24900000
813,8541218
814,13950000
815,6370000
816,75000000
817,8175369
818,13999999
819,9419190
820,14499999
821,18000000
822,38105805
823,26821984
824,44741025
825,63000000
826,10310008
827,128000000
828,39700000
829,50512254
830,9768652
831,23000000
832,31700000
833,77365300
834,10900000
835,307610064
836,10700000
837,97339690
838,9724398
839,8958530
840,16000000
841,17500000
842,22000000
843,11300000
844,16500000
845,35121475
846,9350000
847,6979706
848,66895224
849,6129874
850,54635356
851,18900000
852,38187900
853,7344464
854,10339670
855,17606234
856,9109030
857,61300000
858,35242500
859,95500000
860,8654510
861,21900000
862,47000000
863,85000000
864,8896761
865,11000000
866,210000000
867,29367720
868,60251280
869,32107152
870,231396227
871,18800000
872,37050836
873,17190000
874,11505944
875,29554210
876,155790000
877,127000000
878,20000000
879,290000000
880,160000000
881,44259823
882,21200000
883,13990000
884,11301120
885,33705047
886,189500000
887,14100000
888,10150000
889,45957500
890,21989139
891,63650000
892,202012579
893,36098260
894,7185491
895,35159351
896,10500000
897,17900000
898,20900000
899,19544281
900,25900000
901,47583807
902,33948458
903,11101234
904,20200000
905,22838193
906,7909733
907,20900000
908,36300000
909,41194092
910,16500000
911,12700000
912,23876670
913,24900000
914,107700000
915,19000000
916,88594539
917,7950991
918,15471500
919,25196536
920,11000000
921,56000000
922,164640000
923,12550000
924,116690000
925,74900000
926,10000000
927,86856437
928,7990000
929,35676900
930,50980000
931,6050000
932,29800000
933,28963060
934,24800000
935,22158500
936,10965433
937,45000000
938,15500000
939,321574825
940,137060000
941,7092317
942,52900000
943,16005769
944,17960468
945,20500000
946,16435900
947,15900000
948,7026445
949,21500000
950,78450000
951,71826959
952,7225190
953,21400000
954,156320000
955,41670000
956,39526284
957,108000000
958,33753258
959,15332183
960,14000000
961,25700000
962,7690741
963,21000000
964,14999000
965,27000000
966,12900000
967,93000000
968,51000000
969,5200000
970,222000000
971,30000000
972,122108738
973,7766495
974,22960000
975,10800000
976,12600000
977,30150018
978,11500000
979,7104369
980,101500000
981,6985647
982,31358930
983,19894000
984,13705200
985,12550000
986,117074880
987,250000000
988,33490000
989,27000000
990,9750764
991,34516597
992,14800000
993,46000000
994,22655338
995,20000000
996,7656412
997,6457023
998,84886372
999,24070000
1000,59900000
1001,15000000
1002,9380000
1003,24500000
1004,92690000
1005,91873800
1006,35654210
1007,24500000
1008,30000000
1009,18900000
1010,39500000
1011,70432326
1012,7137541
1013,11500000
1014,26906628
1015,14500000
1016,6300000
1017,15700000
1018,60000000
1019,17900000
1020,15200000
1021,26905000
1022,5377803
1023,52006000
1024,9800000
1025,135366793
1026,14729880
1027,82000000
1028,37336346
1029,21998860
1030,32674530
1031,92724080
1032,18600000
1033,42700000
1034,43725360
1035,16679295
1036,8134448
1037,10599000
1038,65614185
1039,16500000
1040,13300000
1041,127500000
1042,30813600
1043,28938350
1044,13500000
1045,6858615
1046,29955305
1047,36260790
1048,18400000
1049,39888450
1050,170000000
1051,21870420
1052,12387916
1053,6282792
1054,15700000
1055,31674060
1056,16200000
1057,10850000
1058,60000000
1059,25042863
1060,20193902
1061,49000000
1062,10879110
1063,8586459
1064,69800000
1065,15962327
1066,14000000
1067,34000000
1068,8504005
1069,7137923
1070,17700000
1071,28067702
1072,120000000
1073,23700000
1074,11300000
1075,60000000
1076,110000000
1077,34827657
1078,8931120
1079,6341359
1080,67000000
1081,59000000
1082,27353300
1083,7518762
1084,16046112
1085,14777586
1086,11800000
1087,7490000
1088,25159630
1089,9895035
1090,6722089
1091,13759354
1092,7891600
1093,13500000
1094,9853928
1095,19800000
1096,7245647
1097,52437150
1098,10950000
1099,5911217
1100,73000000
1101,20910960
1102,9300000
1103,22880000
1104,28014688
1105,21000000
1106,7320992
1107,10202659
1108,8474400
1109,25450000
1110,6187537
1111,18900000
1112,32235480
1113,175000000
1114,34785452
1115,10300000
1116,93774964
1117,66000000
1118,59000000
1119,7832175
1120,59384010
1121,9044191
1122,46000000
1123,20166020
1124,52289810
1125,15414718
1126,27957272
1127,8376440
1128,8384518
1129,4950000
1130,13900000
1131,12500000
1132,7954114
1133,202012579
1134,25750000
1135,8193088
1136,10846590
1137,20700000
1138,27429037
1139,23275000
1140,19412167
1141,79986550
1142,7100000
