,Unnamed: 0,floor_num,total_area,kitchen_area,rooms_count,living_area,is_apartments,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
1795,1795,9,42.8,18.2,1.0,13.1,f,20,САО,р-н Аэропорт,Красный Балтиец,walk,6,19500000
1796,1796,11,161.4,14.7,6.0,0.0,f,12,ВАО,р-н Северное Измайлово,Щёлковская,walk,9,42000000
1797,1797,24,19.9,0.0,0.0,0.0,f,33,ЮАО,р-н Царицыно,Кантемировская,transport,4,7996899
1798,1798,2,62.7,6.5,3.0,44.9,f,12,СВАО,р-н Бутырский,Фонвизинская,walk,6,16300000
1799,1799,9,76.8,21.0,4.0,38.5,f,9,НАО (Новомосковский),м. Улица Горчакова,Улица Горчакова,transport,8,15532979
1800,1800,7,27.6,6.6,1.0,14.8,f,12,ЗелАО,р-н Матушкино,Зеленоград — Крюково,transport,6,6950000
1801,1801,5,63.0,10.0,2.0,35.0,,10,ЦАО,р-н Басманный,Электрозаводская,walk,2,26500000
1802,1802,27,33.1,10.8,1.0,12.3,f,28,САО,р-н Хорошевский,Зорге,walk,5,20633007
1803,1803,7,91.2,30.0,3.0,55.0,f,41,САО,р-н Хорошевский,Аэропорт,walk,13,80000000
1804,1804,11,180.0,15.0,5.0,160.0,,15,ЗАО,р-н Раменки,Поклонная,walk,15,79990000
1805,1805,8,458.3,0.0,4.0,0.0,f,8,ЦАО,р-н Таганский,Китай-город,walk,14,723197400
1806,1806,11,45.47,10.9,1.0,21.4,f,17,ВАО,р-н Преображенское,Преображенская площадь,walk,5,22845714
1807,1807,8,43.7,0.0,1.0,0.0,f,19,САО,р-н Савеловский,Гражданская,walk,10,20818680
1808,1808,26,41.11,0.0,1.0,13.5,f,54,САО,р-н Савеловский,Дмитровская,walk,6,20577230
1809,1809,4,65.1,0.0,2.0,0.0,f,21,ЦАО,р-н Пресненский,Улица 1905 года,walk,9,68500000
1810,1810,8,23.9,0.0,1.0,0.0,f,25,САО,р-н Савеловский,Гражданская,walk,10,13133050
1811,1811,3,455.0,50.0,5.0,180.5,t,3,ЦАО,р-н Басманный,Китай-город,walk,7,149000000
1812,1812,20,70.0,0.0,3.0,0.0,f,24,ЗАО,р-н Фили-Давыдково,Кунцевская,walk,9,45500000
1813,1813,9,30.3,10.0,1.0,16.4,f,22,НАО (Новомосковский),м. Саларьево,Саларьево,walk,15,7900000
1814,1814,7,340.0,10.0,6.0,0.0,,8,ЦАО,р-н Арбат,Арбатская,walk,7,590000000
1815,1815,5,24.83,0.0,0.0,0.0,f,25,ЮВАО,р-н Люблино,Братиславская,walk,16,6738862
1816,1816,3,112.7,20.0,3.0,65.0,t,5,ЦАО,р-н Хамовники,Спортивная,walk,8,85000000
1817,1817,12,58.1,20.5,1.0,22.1,f,23,ЮАО,р-н Нагатинский затон,Технопарк,walk,5,27342448
1818,1818,1,50.0,15.0,2.0,0.0,t,6,ЦАО,р-н Замоскворечье,Третьяковская,walk,9,45000000
1819,1819,39,183.5,8.0,5.0,0.0,f,41,САО,р-н Хорошевский,Аэропорт,walk,12,147740318
1820,1820,14,211.96,0.0,5.0,0.0,t,20,ЦАО,р-н Пресненский,Краснопресненская,walk,4,211444937
1821,1821,8,94.3,0.0,1.0,0.0,t,13,ЦАО,р-н Арбат,Смоленская,walk,8,93357000
1822,1822,15,77.0,11.5,3.0,43.5,f,24,ЮАО,р-н Донской,Тульская,walk,11,28000000
1823,1823,3,51.1,21.8,1.0,10.7,f,20,ЗАО,р-н Филевский парк,Народное Ополчение,transport,3,26659227
1824,1824,6,34.2,15.5,1.0,10.6,,19,СЗАО,р-н Митино,Пятницкое шоссе,transport,5,8892000
1825,1825,2,130.4,0.0,4.0,0.0,f,14,ЗАО,р-н Раменки,Минская,transport,5,85000000
1826,1826,12,24.9,0.0,0.0,14.3,f,16,НАО (Новомосковский),м. Тёплый Стан,Тёплый Стан,transport,8,8747370
1827,1827,10,175.8,19.1,5.0,101.2,f,17,ЗАО,р-н Можайский,Рабочий посёлок,transport,5,42000000
1828,1828,19,175.6,0.0,5.0,0.0,f,41,САО,р-н Хорошевский,Аэропорт,walk,12,119922417
1829,1829,2,54.7,20.8,1.0,15.5,f,5,ЦАО,р-н Тверской,Площадь Революции,walk,3,126110000
1830,1830,4,102.2,0.0,4.0,0.0,f,12,ЗАО,р-н Раменки,Минская,transport,5,89987421
1831,1831,2,17.27,0.0,0.0,0.0,t,8,ВАО,р-н Соколиная гора,Измайлово,walk,1,4435500
1832,1832,1,93.3,8.0,3.0,56.0,f,7,ЮВАО,р-н Южнопортовый,Дубровка,walk,7,25400000
1833,1833,7,33.0,8.0,1.0,23.0,f,9,СЗАО,р-н Строгино,Строгино,walk,10,12000000
1834,1834,2,46.0,6.0,2.0,0.0,f,9,СВАО,р-н Северное Медведково,Медведково,walk,12,15900000
1835,1835,8,25.52,3.1,0.0,13.1,f,9,НАО (Новомосковский),м. Рассказовка,Рассказовка,transport,18,6759869
1836,1836,6,41.2,13.9,1.0,16.2,f,14,НАО (Новомосковский),м. Кедровая,Кедровая,walk,13,10674920
1837,1837,2,30.9,1.1,0.0,18.2,t,23,СВАО,р-н Отрадное,Владыкино,walk,3,7106326
1838,1838,4,32.7,10.2,0.0,11.9,f,9,НАО (Новомосковский),м. Толстопальцево,Толстопальцево,transport,9,7934524
1839,1839,8,90.5,6.3,4.0,54.6,f,9,НАО (Новомосковский),м. Аэропорт Внуково,Аэропорт Внуково,transport,17,18697300
1840,1840,4,65.0,10.0,2.0,39.0,f,8,ЦАО,р-н Тверской,Маяковская,walk,2,45900000
1841,1841,34,77.37,0.0,3.0,39.8,f,49,СЗАО,р-н Покровское-Стрешнево,Трикотажная,walk,9,28306573
1842,1842,2,19.9,5.1,0.0,9.8,f,16,ЮВАО,р-н Люблино,Братиславская,transport,5,7246943
1843,1843,22,47.8,13.0,1.0,23.0,,23,ЮАО,р-н Чертаново Южное,Улица Академика Янгеля,walk,3,20000000
1844,1844,3,96.1,0.0,4.0,0.0,,14,ЗАО,р-н Раменки,Минская,transport,5,62000000
1845,1845,11,165.1,17.4,5.0,95.6,,12,ЗелАО,р-н Савёлки,Зеленоград — Крюково,transport,9,86000000
1846,1846,7,43.2,17.2,1.0,15.3,f,8,САО,р-н Аэропорт,Красный Балтиец,walk,4,27155520
1847,1847,6,349.3,18.0,6.0,191.0,,10,ЦАО,р-н Арбат,Кропоткинская,walk,6,330566039
1848,1848,5,45.1,6.0,2.0,29.5,f,9,ВАО,р-н Гольяново,Щёлковская,walk,12,11000000
1849,1849,59,197.2,29.6,5.0,162.6,f,67,ЦАО,р-н Пресненский,Москва-Сити,walk,7,199566400
1850,1850,8,28.7,10.0,1.0,12.2,t,13,ЮВАО,р-н Печатники,Кожуховская,walk,14,10560107
